['48', 'AQI', '3', 'PM2.5/1h', '9', 'PM10/1h', '0.5', 'CO/1h', '9', 'NO2/1h', '82', 'O3/1h', '94', 'O3/8h', '5', 'SO2/1h', '阿坝州']
['216', 'AQI', '91', 'PM2.5/1h', '360', 'PM10/1h', '0.4', 'CO/1h', '8', 'NO2/1h', '134', 'O3/1h', '110', 'O3/8h', '4', 'SO2/1h', '阿克苏地区']
['82', 'AQI', '33', 'PM2.5/1h', '91', 'PM10/1h', '0.27', 'CO/1h', '8', 'NO2/1h', '135', 'O3/1h', '137', 'O3/8h', '7', 'SO2/1h', '阿拉善盟']
['65', 'AQI', '5', 'PM2.5/1h', '5', 'PM10/1h', '0.45', 'CO/1h', '6', 'NO2/1h', '113', 'O3/1h', '116', 'O3/8h', '2', 'SO2/1h', '阿勒泰地区']
['48', 'AQI', '6', 'PM2.5/1h', '38', 'PM10/1h', '0.45', 'CO/1h', '6', 'NO2/1h', '99', 'O3/1h', '94', 'O3/8h', '5', 'SO2/1h', '阿里地区']
['30', 'AQI', '18', 'PM2.5/1h', '27', 'PM10/1h', '0.57', 'CO/1h', '7', 'NO2/1h', '70', 'O3/1h', '59', 'O3/8h', '5', 'SO2/1h', '安康']
['37', 'AQI', '20', 'PM2.5/1h', '35', 'PM10/1h', '0.78', 'CO/1h', '29', 'NO2/1h', '68', 'O3/1h', '72', 'O3/8h', '8', 'SO2/1h', '安庆']
['47', 'AQI', '18', 'PM2.5/1h', '42', 'PM10/1h', '0.66', 'CO/1h', '16', 'NO2/1h', '100', 'O3/1h', '93', 'O3/8h', '5', 'SO2/1h', '鞍山']
['61', 'AQI', '43', 'PM2.5/1h', '63', 'PM10/1h', '0.78', 'CO/1h', '19', 'NO2/1h', '71', 'O3/1h', '71', 'O3/8h', '9', 'SO2/1h', '安顺']
['99', 'AQI', '51', 'PM2.5/1h', '72', 'PM10/1h', '1.08', 'CO/1h', '18', 'NO2/1h', '157', 'O3/1h', '157', 'O3/8h', '8', 'SO2/1h', '安阳']
['79', 'AQI', '13', 'PM2.5/1h', '51', 'PM10/1h', '0.35', 'CO/1h', '11', 'NO2/1h', '139', 'O3/1h', '133', 'O3/8h', '10', 'SO2/1h', '白城']
['43', 'AQI', '24', 'PM2.5/1h', '42', 'PM10/1h', '1.2', 'CO/1h', '14', 'NO2/1h', '84', 'O3/1h', '78', 'O3/8h', '13', 'SO2/1h', '百色']
['71', 'AQI', '20', 'PM2.5/1h', '45', 'PM10/1h', '0.75', 'CO/1h', '18', 'NO2/1h', '109', 'O3/1h', '123', 'O3/8h', '8', 'SO2/1h', '白山']
['68', 'AQI', '21', 'PM2.5/1h', '83', 'PM10/1h', '0.55', 'CO/1h', '14', 'NO2/1h', '150', 'O3/1h', '117', 'O3/8h', '10', 'SO2/1h', '白银']
['133', 'AQI', '101', 'PM2.5/1h', '141', 'PM10/1h', '1.15', 'CO/1h', '29', 'NO2/1h', '177', 'O3/1h', '163', 'O3/8h', '21', 'SO2/1h', '保定']
['62', 'AQI', '14', 'PM2.5/1h', '71', 'PM10/1h', '0.4', 'CO/1h', '17', 'NO2/1h', '116', 'O3/1h', '101', 'O3/8h', '3', 'SO2/1h', '宝鸡']
['81', 'AQI', '15', 'PM2.5/1h', '47', 'PM10/1h', '0.3', 'CO/1h', '5', 'NO2/1h', '152', 'O3/1h', '135', 'O3/8h', '5', 'SO2/1h', '保山']
['77', 'AQI', '18', 'PM2.5/1h', '58', 'PM10/1h', '0.52', 'CO/1h', '20', 'NO2/1h', '133', 'O3/1h', '131', 'O3/8h', '9', 'SO2/1h', '包头']
['78', 'AQI', '13', 'PM2.5/1h', '43', 'PM10/1h', '0.33', 'CO/1h', '12', 'NO2/1h', '138', 'O3/1h', '132', 'O3/8h', '3', 'SO2/1h', '巴彦淖尔']
['54', 'AQI', '7', 'PM2.5/1h', '17', 'PM10/1h', '0.45', 'CO/1h', '11', 'NO2/1h', '103', 'O3/1h', '103', 'O3/8h', '3', 'SO2/1h', '巴中']
['33', 'AQI', '7', 'PM2.5/1h', '30', 'PM10/1h', '0.55', 'CO/1h', '8', 'NO2/1h', '81', 'O3/1h', '65', 'O3/8h', '8', 'SO2/1h', '北海']
['108', 'AQI', '80', 'PM2.5/1h', '109', 'PM10/1h', '0.78', 'CO/1h', '43', 'NO2/1h', '119', 'O3/1h', '96', 'O3/8h', '4', 'SO2/1h', '北京']
['93', 'AQI', '69', 'PM2.5/1h', '86', 'PM10/1h', '0.8', 'CO/1h', '51', 'NO2/1h', '62', 'O3/1h', '75', 'O3/8h', '14', 'SO2/1h', '蚌埠']
['43', 'AQI', '18', 'PM2.5/1h', '42', 'PM10/1h', '0.97', 'CO/1h', '17', 'NO2/1h', '92', 'O3/1h', '72', 'O3/8h', '12', 'SO2/1h', '本溪']
['42', 'AQI', '17', 'PM2.5/1h', '41', 'PM10/1h', '0.95', 'CO/1h', '14', 'NO2/1h', '66', 'O3/1h', '71', 'O3/8h', '7', 'SO2/1h', '毕节']
['98', 'AQI', '73', 'PM2.5/1h', '92', 'PM10/1h', '1.4', 'CO/1h', '29', 'NO2/1h', '174', 'O3/1h', '143', 'O3/8h', '18', 'SO2/1h', '滨州']
['50', 'AQI', '12', 'PM2.5/1h', '37', 'PM10/1h', '0.2', 'CO/1h', '7', 'NO2/1h', '116', 'O3/1h', '98', 'O3/8h', '8', 'SO2/1h', '博州']
['68', 'AQI', '30', 'PM2.5/1h', '39', 'PM10/1h', '0.65', 'CO/1h', '10', 'NO2/1h', '116', 'O3/1h', '120', 'O3/8h', '5', 'SO2/1h', '亳州']
['92', 'AQI', '60', 'PM2.5/1h', '98', 'PM10/1h', '0.57', 'CO/1h', '25', 'NO2/1h', '163', 'O3/1h', '149', 'O3/8h', '16', 'SO2/1h', '沧州']
