['city', 'AQI', 'PM2.5/1h', 'PM10/1h', 'CO/1h', 'NO2/1h', 'O3/1h', 'O3/8h', 'SO2/1h']
['大兴安岭地', '0', '0', '0', '0.0', '0', '0', '0', '0']
['山南', '0', '0', '0', '0.0', '0', '0', '0', '0']
['伊犁哈萨克', '0', '0', '0', '0.0', '0', '0', '0', '0']
['诸暨', '0', '0', '0', '0.0', '0', '0', '0', '0']
['林芝地区', '18', '4', '16', '0.35', '6', '51', '35', '3']
['塔城地区', '20', '2', '17', '1.9', '14', '49', '39', '5']
['黔西南州', '21', '10', '18', '0.8', '10', '54', '41', '2']
['茂名', '24', '10', '23', '0.4', '3', '46', '24', '6']
['钦州', '24', '12', '15', '0.77', '4', '59', '47', '9']
['三亚', '24', '10', '23', '0.55', '8', '48', '18', '3']
['防城港', '25', '11', '24', '0.67', '9', '48', '41', '9']
['湛江', '25', '16', '24', '0.62', '9', '52', '30', '7']
['珠海', '26', '18', '23', '0.85', '11', '59', '40', '6']
['阿坝州', '27', '10', '26', '0.4', '6', '69', '48', '5']
['中山', '27', '16', '26', '0.53', '9', '50', '34', '8']
['五家渠', '28', '8', '27', '0.6', '13', '75', '47', '12']
['昌都地区', '29', '6', '12', '0.7', '11', '86', '57', '8']
['凉山州', '29', '13', '17', '0.58', '18', '90', '50', '9']
['日喀则地区', '29', '6', '27', '0.35', '2', '68', '56', '5']
['阿勒泰地区', '30', '7', '7', '0.65', '8', '71', '58', '2']
['北海', '30', '8', '23', '0.65', '7', '79', '59', '6']
['昌吉州', '30', '16', '29', '0.6', '5', '75', '54', '7']
['海口', '30', '11', '29', '0.54', '11', '36', '18', '3']
['三沙', '30', '7', '20', '0.3', '30', '51', '58', '6']
['深圳', '30', '17', '29', '0.5', '21', '43', '28', '11']
['迪庆州', '32', '21', '31', '0.5', '13', '88', '59', '15']
['衡阳', '32', '18', '31', '0.8', '14', '63', '27', '17']
['博州', '33', '12', '27', '0.45', '15', '57', '64', '9']
['桂林', '33', '16', '32', '0.78', '13', '48', '24', '8']
['黑河', '33', '9', '29', '0.57', '9', '79', '64', '6']
['江门', '33', '18', '32', '0.57', '10', '48', '16', '5']
['汕尾', '33', '23', '29', '0.77', '11', '52', '37', '10']
['乌鲁木齐', '34', '23', '33', '0.87', '22', '61', '61', '9']
['鹰潭', '34', '18', '33', '0.48', '7', '74', '26', '12']
['毕节', '35', '19', '34', '0.95', '13', '92', '33', '12']
['黄南州', '35', '14', '34', '0.9', '7', '76', '66', '6']
['长沙', '36', '21', '35', '0.76', '17', '72', '29', '13']
['郴州', '36', '12', '35', '1.43', '9', '78', '44', '13']
['东莞', '36', '25', '34', '0.58', '19', '39', '19', '8']
['佛山', '36', '19', '35', '0.64', '14', '50', '15', '9']
['黔东南州', '36', '16', '24', '0.55', '8', '81', '71', '3']
['南宁', '37', '22', '36', '0.81', '17', '48', '31', '7']
['黔南州', '37', '11', '18', '0.2', '7', '85', '73', '5']
['石河子', '37', '15', '36', '0.7', '26', '57', '63', '14']
['永州', '38', '17', '37', '0.43', '9', '73', '58', '9']
['株洲', '38', '19', '37', '0.49', '12', '62', '27', '15']
['伊春', '39', '15', '38', '0.65', '18', '93', '57', '8']
['伊犁哈萨克州', '39', '20', '38', '0.63', '32', '34', '55', '8']
['鹤岗', '40', '12', '39', '0.5', '16', '105', '74', '10']
['曲靖', '40', '18', '38', '0.55', '10', '97', '78', '12']
['山南地区', '40', '5', '21', '0.45', '6', '65', '79', '4']
['阳江', '40', '19', '39', '0.9', '13', '39', '23', '16']
['崇左', '41', '26', '40', '0.7', '11', '50', '26', '9']
['广州', '41', '20', '40', '0.71', '31', '34', '12', '9']
['萍乡', '41', '18', '40', '1.14', '17', '55', '15', '19']
['云浮', '41', '15', '40', '0.63', '13', '50', '13', '7']
['安顺', '42', '17', '25', '0.57', '8', '83', '83', '5']
['克拉玛依', '42', '15', '26', '0.94', '21', '67', '82', '5']
['丽江', '42', '16', '29', '0.67', '11', '89', '83', '12']
['湘潭', '42', '18', '41', '0.45', '14', '72', '28', '17']
['肇庆', '42', '27', '41', '0.55', '17', '42', '13', '22']
['昆明', '44', '24', '43', '1.14', '34', '81', '71', '24']
['来宾', '44', '21', '43', '0.55', '7', '51', '34', '9']
['林芝', '44', '15', '43', '0.5', '8', '79', '71', '4']
['梅州', '44', '29', '43', '0.9', '18', '95', '42', '6']
['甘孜州', '45', '19', '44', '0.3', '41', '71', '71', '12']
['南平', '45', '28', '44', '0.6', '8', '72', '45', '5']
['普洱', '45', '24', '44', '0.3', '20', '80', '45', '6']
['大理州', '46', '12', '44', '0.5', '20', '99', '91', '7']
['大兴安岭地区', '46', '18', '28', '0.55', '11', '115', '90', '10']
['贵阳', '46', '26', '45', '0.53', '17', '69', '49', '7']
['海西州', '46', '11', '45', '0.6', '8', '72', '70', '18']
['娄底', '46', '27', '45', '1.74', '14', '58', '23', '28']
['怒江州', '46', '10', '45', '0.9', '15', '35', '33', '10']
['汕头', '46', '29', '45', '0.73', '11', '86', '46', '17']
['铜仁地区', '46', '7', '45', '0.75', '16', '35', '10', '7']
['咸宁', '46', '27', '45', '1.13', '17', '88', '65', '1']
['海北州', '47', '16', '46', '0.6', '14', '70', '47', '17']
['岳阳', '47', '28', '46', '0.88', '11', '87', '68', '22']
['瓦房店', '48', '33', '43', '0.45', '18', '67', '71', '3']
['西双版纳州', '48', '23', '47', '0.8', '16', '47', '23', '7']
['昭通', '48', '10', '27', '0.35', '14', '103', '94', '10']
['楚雄州', '49', '20', '48', '0.6', '15', '86', '31', '13']
['红河州', '49', '13', '30', '0.47', '11', '97', '97', '14']
['呼伦贝尔', '49', '7', '25', '0.35', '6', '97', '97', '2']
['柳州', '49', '26', '48', '0.82', '19', '42', '25', '9']
['韶关', '49', '34', '48', '0.82', '34', '55', '37', '22']
['双鸭山', '50', '17', '49', '0.43', '11', '142', '73', '3']
['抚州', '51', '34', '50', '0.8', '8', '72', '31', '7']
['甘孜藏族自治州', '51', '19', '50', '0.4', '9', '47', '41', '5']
['六盘水', '51', '30', '50', '0.58', '17', '74', '58', '11']
['邵阳', '52', '32', '51', '0.62', '13', '57', '16', '21']
['恩施州', '53', '33', '54', '0.9', '41', '24', '19', '8']
['舟山', '53', '36', '53', '1.1', '38', '76', '75', '15']
['海南州', '54', '25', '56', '0.6', '12', '59', '34', '8']
['河池', '54', '20', '55', '0.97', '20', '54', '21', '8']
['惠州', '54', '25', '56', '0.6', '27', '43', '12', '8']
['揭阳', '54', '34', '55', '0.95', '11', '93', '49', '9']
['新余', '54', '30', '56', '1.34', '23', '49', '27', '15']
['海门', '55', '38', '55', '0.8', '31', '84', '54', '11']
['黄山', '55', '27', '58', '0.8', '11', '58', '35', '14']
['吉安', '55', '38', '53', '0.55', '7', '89', '44', '27']
['雅安', '55', '38', '57', '0.5', '18', '74', '69', '22']
['义乌', '55', '38', '56', '0.7', '26', '79', '40', '5']
['常德', '56', '28', '60', '1.2', '15', '62', '62', '19']
['佳木斯', '56', '33', '59', '0.78', '40', '80', '36', '14']
['南阳', '56', '32', '59', '0.94', '29', '80', '84', '7']
['攀枝花', '56', '39', '55', '1.44', '33', '48', '41', '39']
['泰安', '56', '33', '55', '0.77', '24', '146', '106', '10']
['台州', '56', '39', '54', '0.77', '14', '111', '85', '5']
['玉树州', '56', '26', '59', '0.2', '10', '77', '50', '7']
['玉溪', '56', '23', '59', '1.3', '30', '60', '60', '16']
['张家界', '56', '23', '60', '1.03', '24', '61', '41', '12']
['宁波', '57', '29', '35', '0.89', '13', '123', '107', '6']
['宜春', '57', '34', '61', '1.04', '30', '40', '16', '16']
['益阳', '57', '22', '61', '0.92', '13', '79', '47', '15']
['大连', '58', '40', '58', '0.88', '20', '116', '99', '10']
['怀化', '58', '25', '63', '1.18', '13', '82', '39', '8']
['景德镇', '58', '34', '63', '1.12', '9', '84', '31', '18']
['荣成', '58', '31', '59', '0.8', '14', '125', '108', '11']
['梧州', '58', '40', '62', '1.5', '34', '34', '12', '11']
['玉林', '58', '34', '64', '0.87', '10', '66', '35', '29']
['阜阳', '59', '31', '66', '0.57', '10', '120', '96', '7']
['淮北', '59', '41', '60', '0.9', '19', '133', '97', '15']
['九江', '59', '27', '65', '0.55', '15', '79', '48', '16']
['湘西州', '59', '39', '66', '1.0', '20', '27', '7', '7']
['池州', '60', '42', '59', '0.7', '22', '77', '77', '7']
['丹东', '60', '42', '49', '0.75', '20', '89', '97', '10']
['哈密地区', '60', '23', '67', '0.8', '26', '91', '93', '42']
['库尔勒', '60', '29', '67', '0.17', '14', '106', '109', '4']
['临沧', '60', '23', '67', '1.05', '34', '51', '49', '14']
['南昌', '60', '26', '68', '1.11', '31', '63', '63', '32']
['赣州', '61', '43', '64', '1.4', '16', '83', '30', '20']
['贵港', '61', '39', '69', '1.0', '30', '25', '19', '23']
['金华', '61', '37', '69', '0.6', '14', '108', '108', '8']
['昆山', '61', '43', '62', '1.0', '32', '118', '88', '9']
['漯河', '61', '34', '69', '1.05', '14', '115', '75', '15']
['牡丹江', '61', '17', '69', '0.6', '22', '119', '54', '4']
['武汉', '61', '39', '70', '1.04', '25', '77', '77', '9']
['芜湖', '61', '31', '69', '1.0', '15', '87', '54', '7']
['百色', '62', '39', '72', '1.45', '18', '41', '34', '46']
['文登', '62', '33', '56', '0.7', '16', '124', '113', '5']
['宣城', '62', '41', '71', '1.2', '17', '64', '39', '5']
['昌都', '63', '21', '73', '0.65', '15', '82', '76', '5']
['三明', '63', '34', '74', '3.65', '46', '48', '13', '60']
['上饶', '63', '44', '74', '1.25', '28', '53', '16', '42']
['延边州', '63', '28', '73', '0.53', '25', '117', '79', '8']
['安庆', '64', '40', '75', '0.78', '18', '90', '42', '8']
['重庆', '64', '33', '75', '1.07', '67', '48', '48', '16']
['富阳', '64', '45', '63', '1.5', '32', '101', '50', '39']
['临夏州', '64', '40', '75', '0.85', '33', '81', '42', '18']
['丽水', '64', '43', '75', '0.73', '16', '99', '41', '9']
['溧阳', '64', '45', '60', '1.4', '30', '127', '72', '17']
['保山', '65', '28', '77', '0.75', '29', '88', '72', '15']
['衡水', '65', '40', '77', '0.6', '13', '111', '79', '11']
['河源', '65', '46', '0', '0.75', '21', '51', '21', '6']
['平顶山', '65', '38', '77', '0.95', '11', '109', '110', '8']
['清远', '65', '46', '63', '0.9', '40', '29', '29', '17']
['日喀则', '65', '24', '78', '0.65', '11', '73', '59', '9']
['十堰', '65', '37', '77', '0.95', '28', '81', '48', '25']
['天水', '65', '38', '78', '0.57', '25', '129', '108', '11']
['许昌', '65', '37', '78', '1.0', '23', '108', '108', '9']
['巴中', '66', '43', '79', '0.93', '26', '80', '80', '4']
['定西', '66', '32', '79', '0.4', '12', '109', '97', '5']
['铜陵', '66', '47', '78', '1.05', '40', '59', '28', '23']
['宜昌', '66', '47', '79', '1.2', '40', '40', '17', '7']
['张掖', '66', '39', '79', '0.1', '10', '90', '54', '6']
['亳州', '67', '43', '82', '0.95', '16', '145', '113', '10']
['贺州', '67', '48', '69', '0.7', '13', '55', '31', '32']
['乳山', '67', '20', '42', '0.7', '7', '131', '119', '7']
['商洛', '67', '40', '81', '0.85', '26', '71', '71', '31']
['厦门', '67', '46', '82', '0.57', '32', '52', '32', '11']
['信阳', '67', '48', '77', '1.0', '10', '124', '111', '10']
['宜宾', '67', '36', '81', '1.03', '56', '41', '24', '24']
['开封', '68', '30', '84', '0.83', '14', '113', '113', '8']
['六安', '68', '41', '83', '0.88', '41', '90', '55', '4']
['太仓', '68', '39', '84', '1.05', '44', '124', '92', '15']
['常熟', '69', '40', '85', '0.97', '42', '97', '66', '27']
['潮州', '69', '40', '86', '1.03', '18', '83', '83', '16']
