['city', 'AQI', 'PM2.5/1h', 'PM10/1h', 'CO/1h', 'NO2/1h', 'O3/1h', 'O3/8h', 'SO2/1h']
['大兴安岭地', '0', '0', '0', '0.0', '0', '0', '0', '0']
['伊犁哈萨克', '0', '0', '0', '0.0', '0', '0', '0', '0']
['诸暨', '0', '0', '0', '0.0', '0', '0', '0', '0']
['林芝地区', '18', '4', '16', '0.35', '6', '51', '35', '3']
['三亚', '20', '12', '17', '0.6', '9', '33', '39', '2']
['防城港', '22', '15', '19', '0.67', '12', '41', '43', '8']
['阳江', '24', '6', '20', '0.7', '6', '35', '46', '6']
['茂名', '26', '11', '25', '0.45', '9', '28', '43', '6']
['钦州', '26', '12', '23', '0.77', '12', '41', '50', '10']
['深圳', '27', '14', '25', '0.44', '26', '31', '53', '6']
['珠海', '28', '10', '26', '0.65', '14', '38', '54', '3']
['昌都地区', '29', '6', '12', '0.7', '11', '86', '57', '8']
['日喀则地区', '29', '6', '27', '0.35', '2', '68', '56', '5']
['汕头', '29', '16', '21', '0.63', '12', '38', '56', '10']
['汕尾', '29', '15', '23', '0.7', '7', '48', '57', '9']
['厦门', '29', '8', '22', '0.35', '19', '34', '56', '7']
['江门', '30', '12', '29', '0.57', '15', '31', '59', '7']
['三沙', '30', '7', '20', '0.3', '30', '51', '58', '6']
['中山', '31', '13', '23', '0.68', '11', '38', '61', '8']
['海口', '32', '13', '25', '0.52', '18', '20', '62', '4']
['南宁', '32', '14', '23', '0.76', '18', '37', '63', '7']
['北海', '33', '12', '24', '0.55', '9', '45', '64', '7']
['泉州', '33', '13', '30', '0.48', '14', '27', '64', '8']
['肇庆', '35', '16', '34', '0.53', '21', '34', '67', '10']
['石河子', '36', '5', '14', '0.45', '35', '50', '70', '7']
['义乌', '36', '21', '33', '0.5', '28', '37', '70', '4']
['云浮', '36', '16', '35', '0.6', '18', '34', '65', '7']
['湛江', '36', '11', '25', '0.6', '9', '36', '70', '5']
['昌吉州', '37', '14', '8', '0.5', '14', '59', '73', '6']
['桂林', '38', '22', '37', '0.8', '18', '49', '72', '7']
['来宾', '39', '17', '24', '0.5', '9', '62', '77', '14']
['乌鲁木齐', '39', '21', '17', '0.95', '39', '49', '76', '7']
['三明', '40', '25', '39', '1.13', '30', '40', '73', '9']
['山南地区', '40', '5', '21', '0.45', '6', '65', '79', '4']
['揭阳', '41', '24', '40', '0.85', '15', '38', '75', '8']
['萍乡', '41', '20', '37', '0.66', '22', '57', '81', '10']
['邵阳', '41', '27', '39', '0.52', '13', '65', '80', '10']
['张家界', '41', '23', '40', '1.02', '20', '37', '72', '7']
['潮州', '42', '21', '34', '1.03', '15', '23', '83', '16']
['佛山', '42', '21', '41', '0.73', '34', '23', '77', '11']
['柳州', '42', '18', '28', '0.63', '14', '54', '82', '5']
['五家渠', '42', '13', '0', '0.7', '15', '79', '83', '9']
['郴州', '43', '10', '36', '1.12', '20', '67', '85', '25']
['惠州', '43', '21', '29', '0.52', '22', '27', '85', '5']
['金华', '43', '17', '26', '0.55', '22', '52', '84', '5']
['东莞', '44', '16', '20', '0.5', '22', '25', '87', '5']
['娄底', '44', '25', '42', '1.08', '14', '64', '87', '17']
['海门', '45', '31', '43', '0.55', '16', '56', '88', '7']
['铜仁地区', '45', '19', '44', '1.05', '37', '48', '78', '11']
['伊犁哈萨克州', '45', '12', '21', '0.37', '11', '79', '89', '7']
['阿勒泰地区', '46', '8', '10', '0.65', '6', '83', '90', '2']
['百色', '46', '23', '42', '1.15', '21', '73', '90', '17']
['抚州', '46', '30', '45', '0.68', '15', '70', '81', '6']
['迪庆州', '48', '7', '14', '0.5', '13', '81', '94', '11']
['湘潭', '48', '21', '33', '0.49', '24', '70', '94', '10']
['舟山', '48', '33', '47', '0.77', '17', '75', '80', '8']
['株洲', '48', '23', '35', '0.44', '13', '73', '95', '8']
['临安', '49', '28', '48', '0.75', '43', '49', '77', '7']
['西双版纳州', '49', '22', '47', '0.75', '35', '39', '96', '9']
['宣城', '49', '22', '48', '0.47', '23', '58', '72', '6']
['广州', '50', '20', '37', '0.74', '56', '13', '99', '7']
['南昌', '50', '10', '49', '0.94', '36', '41', '83', '16']
['莆田', '50', '29', '49', '0.68', '29', '25', '70', '10']
['黔东南州', '50', '25', '35', '0.45', '8', '95', '99', '2']
['黔西南州', '50', '12', '48', '1.0', '43', '51', '99', '2']
['鹰潭', '50', '22', '39', '0.38', '13', '78', '99', '9']
['长沙', '51', '20', '43', '0.59', '30', '63', '100', '18']
['甘孜藏族自治州', '51', '19', '50', '0.4', '9', '47', '41', '5']
['丽江', '51', '8', '36', '0.6', '8', '91', '100', '12']
['铜陵', '51', '32', '50', '0.65', '25', '63', '78', '15']
['玉树州', '51', '11', '50', '0.2', '23', '75', '99', '5']
['恩施州', '52', '31', '52', '1.0', '36', '44', '74', '7']
