city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,65,11,33,0.5,14,72,116,5
阿克苏地区,75,54,87,0.3,7,116,113,6
阿拉善盟,94,54,136,0.37,7,110,138,9
阿勒泰地区,50,5,5,0.85,8,104,99,1
阿里地区,69,23,85,0.45,7,95,100,4
安康,74,42,96,0.7,16,70,124,8
安庆,58,33,55,0.4,20,88,108,9
鞍山,48,10,26,0.79,9,92,94,5
安顺,72,52,88,0.7,11,108,124,5
安阳,45,22,39,0.86,20,66,88,6
白城,139,60,226,0.95,22,110,157,14
百色,54,24,56,1.05,21,84,99,18
白山,69,39,86,0.9,9,103,121,6
白银,110,51,168,0.8,69,49,110,13
保定,85,62,93,0.77,26,111,127,8
宝鸡,95,44,121,0.79,63,77,152,7
保山,57,16,36,0.55,10,100,107,6
包头,107,19,62,0.95,87,77,166,12
巴彦淖尔,152,76,251,0.33,15,80,141,6
巴中,88,64,123,1.13,57,45,110,6
北海,41,12,40,0.6,13,62,55,7
北京,78,55,69,1.05,35,89,132,2
蚌埠,83,41,80,0.73,24,107,138,16
本溪,42,8,18,1.13,15,64,82,12
毕节,91,38,85,0.95,22,128,148,20
滨州,82,23,51,1.03,14,99,137,5
博州,52,16,31,0.3,8,102,101,9
亳州,66,26,56,0.65,10,119,117,8
沧州,50,22,40,0.53,36,77,98,18
长春,81,35,91,0.87,13,103,135,4
常德,50,21,38,0.84,11,86,98,8
昌都,77,13,23,0.6,12,128,131,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,47,21,31,0.73,20,82,92,11
长沙,52,25,52,0.67,24,64,86,8
常熟,116,37,75,0.77,30,133,176,24
长治,87,26,49,0.86,26,109,143,9
常州,61,32,51,1.12,51,70,112,16
朝阳,104,66,74,1.05,15,134,163,10
潮州,53,16,54,1.03,24,28,77,20
承德,108,46,96,1.14,19,144,167,10
成都,153,55,96,0.94,58,139,217,9
郴州,45,12,44,1.18,16,87,87,18
赤峰,91,48,122,1.02,21,141,147,19
池州,58,39,64,0.47,37,67,87,20
重庆,130,36,86,0.98,80,127,191,9
崇左,61,29,58,0.65,14,100,112,11
楚雄州,61,17,48,0.45,11,106,111,16
滁州,84,26,69,0.53,22,111,139,7
大连,48,21,30,0.66,17,89,94,6
大理州,61,16,69,0.4,10,100,109,4
丹东,54,37,51,0.78,18,76,80,8
大庆,87,56,110,0.84,23,104,143,30
大同,100,48,74,1.12,40,96,158,21
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,47,12,19,0.4,9,95,93,10
达州,86,57,119,1.32,110,57,131,6
德宏州,72,52,69,0.75,33,64,108,13
德阳,157,54,118,0.93,45,157,221,10
德州,40,16,16,0.63,11,78,78,4
定西,84,41,115,0.3,29,109,124,3
迪庆州,42,8,28,0.3,8,70,82,18
东莞,38,11,26,0.48,34,24,75,6
东营,72,3,11,0.68,9,96,125,13
鄂尔多斯,117,27,75,0.74,21,163,177,10
恩施州,58,34,63,1.0,48,30,66,5
鄂州,58,32,63,1.07,28,55,85,9
防城港,30,16,29,0.73,17,41,45,14
佛山,41,18,33,0.64,20,37,81,6
抚顺,52,6,21,0.73,13,83,101,27
阜新,90,38,65,0.72,12,122,146,8
阜阳,52,24,51,0.47,16,82,99,7
富阳,71,51,80,1.2,87,49,99,7
福州,71,21,66,0.62,34,55,123,9
抚州,51,31,48,0.7,16,80,100,6
甘南州,80,35,107,0.6,24,103,126,10
赣州,60,33,53,1.42,20,96,110,21
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,76,32,50,0.45,5,134,130,2
广安,122,72,130,1.38,66,94,183,14
广元,104,25,72,0.78,34,110,163,17
广州,45,17,37,0.66,43,18,89,8
贵港,53,23,53,0.6,26,45,64,5
桂林,47,31,46,0.83,25,54,78,6
贵阳,58,28,63,0.5,23,88,105,6
果洛州,71,23,48,0.5,23,122,124,23
固原,99,44,137,0.73,29,138,157,6
哈尔滨,86,52,91,0.87,32,99,142,9
海北州,111,83,104,0.6,10,147,151,40
海东地区,92,40,132,0.7,17,145,133,10
海口,30,13,26,0.5,13,18,58,3
海门,88,48,75,0.7,33,93,144,13
海南州,117,40,182,0.5,6,87,90,8
海西州,82,49,111,0.6,11,78,83,18
哈密地区,61,5,39,0.9,33,96,111,7
邯郸,57,25,62,0.53,19,73,86,5
杭州,62,33,56,0.82,46,70,113,7
